index,country,city,latitude,longitude,altitude
5305,Italy,Rome,41.9,12.4833336,14.0
5306,Italy,Milano,45.4642694,9.1895056,108.0
5307,Italy,Napoli,40.8333333,14.25,-9999.0
5308,Italy,Torino,45.0704898,7.686824799999999,205.0
5309,Italy,Palermo,38.1158198,13.3597612,20.0
5310,Italy,Genova,44.40631629999999,8.9338589,32.0
5311,Italy,Florence,43.7666667,11.25,87.0
5312,Italy,Bologna,44.4938115,11.3387489,54.0
5313,Italy,Bari,41.117734000000006,16.8511848,8.0
5314,Italy,Catania,37.502134000000005,15.0871897,19.0
5315,Italy,Venice,45.4386111,12.3266668,1.0
5316,Italy,Verona,45.434186,10.997788400000001,71.0
5317,Italy,Messina,38.193267999999996,15.5496902,59.0
5318,Italy,Trieste,45.648611100000004,13.779999700000001,53.0
5319,Italy,Padova,45.415194,11.881808300000001,11.0
5320,Italy,Taranto,40.476111100000004,17.229723,-9999.0
5321,Italy,Brescia,45.524782,10.2272692,131.0
5322,Italy,Reggio di Calabria,38.110467,15.661294,145.0
5323,Italy,Mestre,45.4902778,12.242500300000001,4.0
5324,Italy,Modena,44.647834,10.9253883,25.0
5325,Italy,Prato,43.88425,11.0909166,58.0
5326,Italy,Cagliari,39.207383899999996,9.134616900000001,17.0
5327,Italy,Parma,44.802665000000005,10.3289843,48.0
5328,Italy,Livorno,43.542636,10.316004800000002,5.0
5329,Italy,Foggia,41.460932,15.549250599999999,60.0
5330,Italy,Perugia,43.096743,12.3828583,336.0
5331,Italy,Salerno,40.66321,14.803745300000001,66.0
5332,Italy,Ravenna,44.4175,12.2011108,3.0
5333,Italy,Ferrara,44.826777,11.620713199999999,9.0
5334,Italy,Rimini,44.0633333,12.5808334,5.0
5335,Italy,Siracusa,37.085147,15.2729959,53.0
5336,Italy,Sassari,40.7272222,8.5602779,248.0
5337,Italy,Monza,45.582475,9.274847,156.0
5338,Italy,Pescara,42.460244,14.210207,9.0
5339,Italy,Bergamo,45.697981,9.6689529,264.0
5340,Italy,Forli,44.22361110000001,12.052778199999999,25.0
5341,Italy,Latina,41.466142,12.9043007,20.0
5342,Italy,Vicenza,45.557294,11.5408983,27.0
5343,Italy,Terni,42.567133,12.6498709,173.0
5344,Italy,Trento,46.0678714,11.121082300000001,218.0
5345,Italy,Pinocchio di Ancona,43.5833333,13.5,80.0
5346,Italy,Novara,45.440565,8.616834599999999,150.0
5347,Italy,Ancona,43.598164000000004,13.510074599999998,87.0
5348,Italy,Giugliano in Campania,40.927411,14.191027599999998,100.0
5349,Italy,Andria,41.230632,16.2908707,131.0
5350,Italy,Piacenza,45.046765,9.6993656,44.0
5351,Italy,Catanzaro,38.890788,16.598705300000002,136.0
5352,Italy,Udine,46.061944399999994,13.2422218,98.0
5353,Italy,Bolzano,46.492715999999994,11.3335762,260.0
5354,Italy,Barletta,41.311834000000005,16.2907696,7.0
5355,Italy,Arezzo,43.4613922,11.876907300000001,256.0
5356,Italy,La Spezia,44.110545,9.843385699999999,-9999.0
5357,Italy,Pesaro,43.903566,12.890255900000001,12.0
5358,Italy,Cesena,44.1391022,12.2431469,38.0
5359,Italy,Torre del Greco,40.783921,14.370803800000001,72.0
5360,Italy,Lido di Roma,41.7321235,12.276535,-9999.0
5361,Italy,Pisa,43.7175199,10.3964996,1.0
5362,Italy,Brindisi,40.627731,17.936815300000003,16.0
5363,Italy,Alessandria,44.912452,8.6189451,78.0
5364,Italy,Pistoia,43.92125,10.9236116,46.0
5365,Italy,Lecce,40.357027,18.1720238,53.0
5366,Italy,Casoria,40.906636799999994,14.2958736,58.0
5367,Italy,Lucca,43.843565399999996,10.505847900000001,7.0
5368,Italy,Varese,45.829076,8.821931800000002,390.0
5369,Italy,Treviso,45.6666667,12.244999900000002,7.0
5370,Italy,Sesto San Giovanni,45.53449129999999,9.2340088,130.0
5371,Italy,Pozzuoli,40.831963,14.110007300000001,-9999.0
5372,Italy,Como,45.809978,9.0874376,283.0
5373,Italy,Marsala,37.82124,12.4896307,19.0
5374,Italy,Busto Arsizio,45.6112756,8.849144,211.0
5375,Italy,Caserta,41.083215,14.334929500000001,81.0
5376,Italy,Guidonia,42.0166667,12.75,149.0
5377,Italy,Cosenza,39.309993,16.250192600000002,204.0
5378,Italy,Gela,37.08034,14.2306747,49.0
5379,Italy,Cinisello Balsamo,45.557072999999995,9.2218456,146.0
5380,Italy,Asti,44.897948,8.206835700000001,122.0
5381,Italy,Grosseto,42.771425,11.107935000000001,10.0
5382,Italy,Pavia,45.184464,9.1614523,60.0
5383,Italy,Cremona,45.136171000000004,10.027972199999999,31.0
5384,Italy,Lamezia Terme,38.965887,16.3091984,158.0
5385,Italy,Nicastro,38.9833333,16.316667600000002,289.0
5386,Italy,Potenza,40.644317,15.808567000000002,698.0
5387,Italy,Ragusa,36.92824,14.7171869,591.0
5388,Italy,Trapani,38.015843,12.510767,1.0
5389,Italy,Guidonia Montecelio,41.993621999999995,12.7223806,94.0
5390,Italy,Castellammare di Stabia,40.715509000000004,14.4891367,10.0
5391,Italy,Massa,44.022045,10.114092800000002,12.0
5392,Italy,Carrara,44.062945,10.060690899999999,23.0
5393,Italy,Imola,44.352267,11.715823199999999,30.0
5394,Italy,Altamura,40.829226,16.5536804,411.0
5395,Italy,Molfetta,41.200234,16.5974789,-9999.0
5396,Italy,Afragola,40.926012,14.310831099999998,40.0
5397,Italy,Savona,44.309048,8.4771538,15.0
5398,Italy,Benevento,41.129519,14.786137599999998,165.0
5399,Italy,Carpi,44.78237,10.877697,16.0
5400,Italy,Caltanissetta,37.487745000000004,14.044966699999998,597.0
5401,Italy,Viareggio,43.873543,10.2557993,3.0
